,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape,missing_all,missing_test_percent
37,1,0.9,0.85,lin,1,10,5.800372938528932,0.7316365381278584,2,13.0,7.394119440672277,0.7924753191869994,1,18.0,19.824251551279886,0.44481253523087416,14,259.0,4.90403055472052,0.8700316230477698,6,126.0,14.784002350564048,,10,320.0,,10.541355367153134,736.0,0.38372093023255816
43,1,0.9,0.85,dectree,1,10,5.800372938528932,0.7316365381278584,2,13.0,7.394119440672277,0.7924753191869994,1,18.0,19.824251551279886,0.44481253523087416,14,259.0,4.90403055472052,0.8700316230477698,6,126.0,14.784002350564048,,10,320.0,,10.541355367153134,736.0,0.38372093023255816
31,1,0.9,0.7,dectree,1,10,5.800372938528932,0.7316365381278584,2,13.0,7.394119440672277,0.7924753191869994,1,18.0,19.824251551279886,0.44481253523087416,14,259.0,4.90403055472052,0.8700316230477698,6,126.0,14.784002350564048,,10,320.0,,10.541355367153134,736.0,0.38372093023255816
141,2,0.95,0.85,dectree,2,5,5.1431429056546785,0.6941117136303891,10,213.0,6.2389442476455494,0.5372380434969415,4,213.0,19.647773821571484,0.40871756580175445,16,277.0,8.133034623396416,0.7307869368293627,7,154.0,14.111992059970884,,10,342.0,,10.654977531647802,1199.0,0.5465116279069767
7,1,0.85,0.7,dectree,1,10,5.036633306621722,0.8070643250595195,1,9.0,7.328345169727335,0.7689008125977401,1,17.0,15.085026219042863,0.4655541654493126,13,155.0,7.475392022643315,0.6617922701842259,6,26.0,18.369041706169178,0.8613206753326619,7,82.0,0.712926449724692,10.658887684840881,289.0,0.32558139534883723
3,1,0.85,0.7,lin,2,5,5.036633306621722,0.8070643250595195,1,9.0,7.328345169727335,0.7689008125977401,1,17.0,15.085026219042863,0.4655541654493126,13,155.0,7.475392022643315,0.6617922701842259,6,26.0,18.369041706169178,0.8613206753326619,7,82.0,0.712926449724692,10.658887684840881,289.0,0.32558139534883723
15,1,0.85,0.85,lin,2,5,5.036633306621722,0.8070643250595195,1,9.0,7.328345169727335,0.7689008125977401,1,17.0,15.085026219042863,0.4655541654493126,13,155.0,7.475392022643315,0.6617922701842259,6,26.0,18.369041706169178,0.8613206753326619,7,82.0,0.712926449724692,10.658887684840881,289.0,0.32558139534883723
129,2,0.95,0.7,dectree,2,5,3.324029527688303,0.928996535045222,11,166.0,6.308215202405974,0.7864137317029147,8,200.0,25.92644584148393,-217.4830937795691,19,280.0,3.8325108353803072,0.9240903719336726,11,160.0,14.111992059970884,,10,323.0,,10.70063869338588,1129.0,0.686046511627907
134,2,0.95,0.85,lin,1,20,3.324029527688303,0.928996535045222,11,166.0,6.308215202405974,0.7864137317029147,8,200.0,25.92644584148393,-217.4830937795691,19,280.0,3.8325108353803072,0.9240903719336726,11,160.0,14.111992059970884,,10,323.0,,10.70063869338588,1129.0,0.686046511627907
121,2,0.95,0.7,lin,1,10,3.324029527688303,0.928996535045222,11,166.0,6.308215202405974,0.7864137317029147,8,200.0,25.92644584148393,-217.4830937795691,19,280.0,3.8325108353803072,0.9240903719336726,11,160.0,14.111992059970884,,10,323.0,,10.70063869338588,1129.0,0.686046511627907
